Label,temperature,treatment,cage,survival,sex,individual,trait,Length,doubleCheck
FO_24_NP_1_1_F_1_T_.tif,24,NP,1,1,F,1,T,0.997,0
FO_24_NP_1_1_F_1_L_.tif,24,NP,1,1,F,1,L,0.664,0
FO_24_NP_1_1_F_1_L_.tif,24,NP,1,1,F,1,L,0.621,0
FO_24_NP_1_1_F_1_W_.tif,24,NP,1,1,F,1,W,1.816,0
FO_18_NP_2_6_F_96_T_.tif,18,NP,2,6,F,96,T,1.06,0
FO_18_NP_2_6_F_96_L_.tif,18,NP,2,6,F,96,L,0.702,0
FO_18_NP_2_6_F_96_L_.tif,18,NP,2,6,F,96,L,0.695,0
FO_18_NP_2_6_F_96_W_.tif,18,NP,2,6,F,96,W,2.02,0
FO_18_NP_2_6_F_97_T_.tif,18,NP,2,6,F,97,T,1.029,0
FO_18_NP_2_6_F_97_L_.tif,18,NP,2,6,F,97,L,0.683,0
FO_18_NP_2_6_F_97_L_.tif,18,NP,2,6,F,97,L,0.664,0
FO_18_NP_2_6_F_97_W_.tif,18,NP,2,6,F,97,W,1.939,0
FO_18_NP_2_6_M_98_T_.tif,18,NP,2,6,M,98,T,0.914,0
FO_18_NP_2_6_M_98_L_.tif,18,NP,2,6,M,98,L,0.661,0
FO_18_NP_2_6_M_98_L_.tif,18,NP,2,6,M,98,L,0.672,0
FO_18_NP_2_6_M_98_W_.tif,18,NP,2,6,M,98,W,1.777,0
FO_18_NP_2_6_F_99_T_.tif,18,NP,2,6,F,99,T,1.023,0
FO_18_NP_2_6_F_99_L_.tif,18,NP,2,6,F,99,L,0.687,0
FO_18_NP_2_6_F_99_L_.tif,18,NP,2,6,F,99,L,0.672,0
FO_18_NP_2_6_F_99_W_.tif,18,NP,2,6,F,99,W,2.017,0
FO_18_NP_2_6_M_100_T_.tif,18,NP,2,6,M,100,T,1.015,0
FO_18_NP_2_6_M_100_L_.tif,18,NP,2,6,M,100,L,0.69,0
FO_18_NP_2_6_M_100_L_.tif,18,NP,2,6,M,100,L,0.682,0
FO_18_NP_2_6_M_100_W_.tif,18,NP,2,6,M,100,W,1.829,0
FO_18_NP_2_6_M_101_T_.tif,18,NP,2,6,M,101,T,0.937,0
FO_18_NP_2_6_M_101_L_.tif,18,NP,2,6,M,101,L,0.661,0
FO_18_NP_2_6_M_101_L_.tif,18,NP,2,6,M,101,L,0.652,0
FO_18_NP_2_6_M_101_W_.tif,18,NP,2,6,M,101,W,1.823,0
FO_18_NP_2_6_M_102_T_.tif,18,NP,2,6,M,102,T,1.004,0
FO_18_NP_2_6_M_102_L_.tif,18,NP,2,6,M,102,L,0.718,0
FO_18_NP_2_6_M_102_L_.tif,18,NP,2,6,M,102,L,0.698,0
FO_18_NP_2_6_M_102_W_.tif,18,NP,2,6,M,102,W,1.918,0
FO_18_NP_2_6_F_103_T_.tif,18,NP,2,6,F,103,T,1.034,0
FO_18_NP_2_6_F_103_L_.tif,18,NP,2,6,F,103,L,0.679,0
FO_18_NP_2_6_F_103_L_.tif,18,NP,2,6,F,103,L,0.672,0
FO_18_NP_2_6_F_103_W_.tif,18,NP,2,6,F,103,W,1.963,0
FO_18_NP_2_6_M_104_T_.tif,18,NP,2,6,M,104,T,0.968,0
FO_18_NP_2_6_M_104_L_.tif,18,NP,2,6,M,104,L,0.634,0
FO_18_NP_2_6_M_104_L_.tif,18,NP,2,6,M,104,L,0.62,0
FO_18_NP_2_6_M_104_W_.tif,18,NP,2,6,M,104,W,1.702,0
FO_18_NP_2_6_M_105_T_.tif,18,NP,2,6,M,105,T,0.908,0
FO_18_NP_2_6_M_105_L_.tif,18,NP,2,6,M,105,L,0.634,0
FO_18_NP_2_6_M_105_L_.tif,18,NP,2,6,M,105,L,0.654,0
FO_18_NP_2_6_M_105_W_.tif,18,NP,2,6,M,105,W,1.725,0
FO_18_NP_2_6_M_106_T_.tif,18,NP,2,6,M,106,T,0.871,0
FO_18_NP_2_6_M_106_L_.tif,18,NP,2,6,M,106,L,0.642,0
FO_18_NP_2_6_M_106_L_.tif,18,NP,2,6,M,106,L,0.63,0
FO_18_NP_2_6_M_106_W_.tif,18,NP,2,6,M,106,W,1.736,0
FO_18_NP_2_6_M_107_T_.tif,18,NP,2,6,M,107,T,0.935,0
FO_18_NP_2_6_M_107_L_.tif,18,NP,2,6,M,107,L,0.66,0
FO_18_NP_2_6_M_107_L_.tif,18,NP,2,6,M,107,L,0.618,0
FO_18_NP_2_6_M_107_W_.tif,18,NP,2,6,M,107,W,1.813,0
FO_18_NP_2_6_F_108_T_.tif,18,NP,2,6,F,108,T,1.045,0
FO_18_NP_2_6_F_108_L_.tif,18,NP,2,6,F,108,L,0.694,0
FO_18_NP_2_6_F_108_L_.tif,18,NP,2,6,F,108,L,0.665,0
FO_18_NP_2_6_F_108_W_.tif,18,NP,2,6,F,108,W,1.934,0
FO_18_NP_2_6_M_109_T_.tif,18,NP,2,6,M,109,T,0.867,0
FO_18_NP_2_6_M_109_L_.tif,18,NP,2,6,M,109,L,0.652,0
FO_18_NP_2_6_M_109_L_.tif,18,NP,2,6,M,109,L,0.628,0
FO_18_NP_2_6_M_109_W_.tif,18,NP,2,6,M,109,W,1.778,0
FO_18_NP_2_6_F_110_T_.tif,18,NP,2,6,F,110,T,1.079,0
FO_18_NP_2_6_F_110_L_.tif,18,NP,2,6,F,110,L,0.696,0
FO_18_NP_2_6_F_110_L_.tif,18,NP,2,6,F,110,L,0.685,0
FO_18_NP_2_6_F_110_W_.tif,18,NP,2,6,F,110,W,2.003,0
FO_18_NP_2_6_F_111_T_.tif,18,NP,2,6,F,111,T,1.034,0
FO_18_NP_2_6_F_111_L_.tif,18,NP,2,6,F,111,L,0.694,0
FO_18_NP_2_6_F_111_L_.tif,18,NP,2,6,F,111,L,0.679,0
FO_18_NP_2_6_F_111_W_.tif,18,NP,2,6,F,111,W,1.994,0
FO_18_NP_2_6_F_112_T_.tif,18,NP,2,6,F,112,T,1.031,0
FO_18_NP_2_6_F_112_L_.tif,18,NP,2,6,F,112,L,0.688,0
FO_18_NP_2_6_F_112_L_.tif,18,NP,2,6,F,112,L,0.662,0
FO_18_NP_2_6_F_112_W_.tif,18,NP,2,6,F,112,W,1.979,0
FO_18_NP_2_6_F_113_T_.tif,18,NP,2,6,F,113,T,1.008,0
FO_18_NP_2_6_F_113_L_.tif,18,NP,2,6,F,113,L,0.69,0
FO_18_NP_2_6_F_113_L_.tif,18,NP,2,6,F,113,L,0.67,0
FO_18_NP_2_6_F_113_W_.tif,18,NP,2,6,F,113,W,1.946,0
FO_18_NP_2_6_F_114_T_.tif,18,NP,2,6,F,114,T,1.058,0
FO_18_NP_2_6_F_114_L_.tif,18,NP,2,6,F,114,L,0.712,0
FO_18_NP_2_6_F_114_L_.tif,18,NP,2,6,F,114,L,0.709,0
FO_18_NP_2_6_F_114_W_.tif,18,NP,2,6,F,114,W,2.1,0
FO_18_NP_2_6_F_115_T_.tif,18,NP,2,6,F,115,T,1.051,0
FO_18_NP_2_6_F_115_L_.tif,18,NP,2,6,F,115,L,0.686,0
FO_18_NP_2_6_F_115_L_.tif,18,NP,2,6,F,115,L,0.656,0
FO_18_NP_2_6_F_115_W_.tif,18,NP,2,6,F,115,W,1.953,0
FO_18_NP_2_6_F_80_T_.tif,18,NP,2,6,F,80,T,1.06,0
FO_18_NP_2_6_F_80_L_.tif,18,NP,2,6,F,80,L,0.685,0
FO_18_NP_2_6_F_80_L_.tif,18,NP,2,6,F,80,L,0.682,0
FO_18_NP_2_6_F_80_W_.tif,18,NP,2,6,F,80,W,1.927,0
FO_18_NP_2_6_M_81_T_.tif,18,NP,2,6,M,81,T,0.868,0
FO_18_NP_2_6_M_81_L_.tif,18,NP,2,6,M,81,L,0.623,0
FO_18_NP_2_6_M_81_L_.tif,18,NP,2,6,M,81,L,0.611,0
FO_18_NP_2_6_M_81_W_.tif,18,NP,2,6,M,81,W,1.691,0
FO_18_NP_2_6_F_82_T_.tif,18,NP,2,6,F,82,T,1.029,0
FO_18_NP_2_6_F_82_L_.tif,18,NP,2,6,F,82,L,0.675,0
FO_18_NP_2_6_F_82_L_.tif,18,NP,2,6,F,82,L,0.662,0
FO_18_NP_2_6_F_82_W_.tif,18,NP,2,6,F,82,W,1.91,0
FO_18_NP_2_6_M_83_T_.tif,18,NP,2,6,M,83,T,0.949,0
FO_18_NP_2_6_M_83_L_.tif,18,NP,2,6,M,83,L,0.652,0
FO_18_NP_2_6_M_83_L_.tif,18,NP,2,6,M,83,L,0.636,0
FO_18_NP_2_6_M_83_W_.tif,18,NP,2,6,M,83,W,1.803,0
FO_18_NP_2_6_F_84_T_.tif,18,NP,2,6,F,84,T,1.025,0
FO_18_NP_2_6_F_84_L_.tif,18,NP,2,6,F,84,L,0.727,0
FO_18_NP_2_6_F_84_L_.tif,18,NP,2,6,F,84,L,0.699,0
FO_18_NP_2_6_F_84_W_.tif,18,NP,2,6,F,84,W,1.908,0
FO_18_NP_2_6_M_85_T_.tif,18,NP,2,6,M,85,T,0.92,0
FO_18_NP_2_6_M_85_L_.tif,18,NP,2,6,M,85,L,0.661,0
FO_18_NP_2_6_M_85_L_.tif,18,NP,2,6,M,85,L,0.657,0
FO_18_NP_2_6_M_85_W_.tif,18,NP,2,6,M,85,W,1.756,0
FO_18_NP_2_6_F_86_T_.tif,18,NP,2,6,F,86,T,1.052,0
FO_18_NP_2_6_F_86_L_.tif,18,NP,2,6,F,86,L,0.705,0
FO_18_NP_2_6_F_86_L_.tif,18,NP,2,6,F,86,L,0.663,0
FO_18_NP_2_6_F_86_W_.tif,18,NP,2,6,F,86,W,2.041,0
FO_18_NP_2_6_M_87_T_.tif,18,NP,2,6,M,87,T,0.832,0
FO_18_NP_2_6_M_87_L_.tif,18,NP,2,6,M,87,L,0.587,0
FO_18_NP_2_6_M_87_L_.tif,18,NP,2,6,M,87,L,0.591,0
FO_18_NP_2_6_M_87_W_.tif,18,NP,2,6,M,87,W,1.616,0
FO_18_NP_2_6_F_88_T_.tif,18,NP,2,6,F,88,T,1.085,0
FO_18_NP_2_6_F_88_L_.tif,18,NP,2,6,F,88,L,0.723,0
FO_18_NP_2_6_F_88_L_.tif,18,NP,2,6,F,88,L,0.724,0
FO_18_NP_2_6_F_88_W_.tif,18,NP,2,6,F,88,W,2.035,0
FO_18_NP_2_6_F_89_T_.tif,18,NP,2,6,F,89,T,0.996,0
FO_18_NP_2_6_F_89_L_.tif,18,NP,2,6,F,89,L,0.669,0
FO_18_NP_2_6_F_89_L_.tif,18,NP,2,6,F,89,L,0.653,0
FO_18_NP_2_6_M_90_T_.tif,18,NP,2,6,M,90,T,0.969,0
FO_18_NP_2_6_M_90_L_.tif,18,NP,2,6,M,90,L,0.654,0
FO_18_NP_2_6_M_90_L_.tif,18,NP,2,6,M,90,L,0.653,0
FO_18_NP_2_6_M_90_W_.tif,18,NP,2,6,M,90,W,1.804,0
FO_18_NP_2_6_F_91_T_.tif,18,NP,2,6,F,91,T,1.053,0
FO_18_NP_2_6_F_91_L_.tif,18,NP,2,6,F,91,L,0.699,0
FO_18_NP_2_6_F_91_L_.tif,18,NP,2,6,F,91,L,0.686,0
FO_18_NP_2_6_F_91_W_.tif,18,NP,2,6,F,91,W,2.013,0
FO_18_NP_2_6_F_92_T_.tif,18,NP,2,6,F,92,T,1.016,0
FO_18_NP_2_6_F_92_L_.tif,18,NP,2,6,F,92,L,0.666,0
FO_18_NP_2_6_F_92_L_.tif,18,NP,2,6,F,92,L,0.647,0
FO_18_NP_2_6_F_92_W_.tif,18,NP,2,6,F,92,W,1.844,0
FO_18_NP_2_6_F_93_T_.tif,18,NP,2,6,F,93,T,1.018,0
FO_18_NP_2_6_F_93_L_.tif,18,NP,2,6,F,93,L,0.673,0
FO_18_NP_2_6_F_93_L_.tif,18,NP,2,6,F,93,L,0.66,0
FO_18_NP_2_6_F_93_W_.tif,18,NP,2,6,F,93,W,1.932,0
FO_18_NP_2_6_F_94_T_.tif,18,NP,2,6,F,94,T,0.961,0
FO_18_NP_2_6_F_94_L_.tif,18,NP,2,6,F,94,L,0.665,0
FO_18_NP_2_6_F_94_L_.tif,18,NP,2,6,F,94,L,0.648,0
FO_18_NP_2_6_F_94_W_.tif,18,NP,2,6,F,94,W,1.931,0
FO_18_NP_2_6_F_95_T_.tif,18,NP,2,6,F,95,T,1.032,0
FO_18_NP_2_6_F_95_L_.tif,18,NP,2,6,F,95,L,0.692,0
FO_18_NP_2_6_F_95_L_.tif,18,NP,2,6,F,95,L,0.659,0
FO_18_NP_2_6_F_95_W_.tif,18,NP,2,6,F,95,W,1.959,0
FO_18_NP_2_6_M_63_T_.tif,18,NP,2,6,M,63,T,0.928,0
FO_18_NP_2_6_M_63_L_.tif,18,NP,2,6,M,63,L,0.675,0
FO_18_NP_2_6_M_63_L_.tif,18,NP,2,6,M,63,L,0.655,0
FO_18_NP_2_6_M_63_W_.tif,18,NP,2,6,M,63,W,1.766,0
FO_18_NP_2_6_F_64_T_.tif,18,NP,2,6,F,64,T,0.988,0
FO_18_NP_2_6_F_64_L_.tif,18,NP,2,6,F,64,L,0.65,0
FO_18_NP_2_6_F_64_L_.tif,18,NP,2,6,F,64,L,0.645,0
FO_18_NP_2_6_F_64_W_.tif,18,NP,2,6,F,64,W,2.003,0
FO_18_NP_2_6_F_65_T_.tif,18,NP,2,6,F,65,T,1.09,0
FO_18_NP_2_6_F_65_L_.tif,18,NP,2,6,F,65,L,0.675,0
FO_18_NP_2_6_F_65_L_.tif,18,NP,2,6,F,65,L,0.646,0
FO_18_NP_2_6_F_65_W_.tif,18,NP,2,6,F,65,W,1.923,0
FO_18_NP_2_6_F_66_T_.tif,18,NP,2,6,F,66,T,1.032,0
FO_18_NP_2_6_F_66_L_.tif,18,NP,2,6,F,66,L,0.688,0
FO_18_NP_2_6_F_66_L_.tif,18,NP,2,6,F,66,L,0.636,0
FO_18_NP_2_6_F_66_W_.tif,18,NP,2,6,F,66,W,1.98,0
FO_18_NP_2_6_M_67_T_.tif,18,NP,2,6,M,67,T,0.949,0
FO_18_NP_2_6_M_67_L_.tif,18,NP,2,6,M,67,L,0.675,0
FO_18_NP_2_6_M_67_L_.tif,18,NP,2,6,M,67,L,0.62,0
FO_18_NP_2_6_M_67_W_.tif,18,NP,2,6,M,67,W,1.778,0
FO_18_NP_2_6_M_68_T_.tif,18,NP,2,6,M,68,T,0.983,0
FO_18_NP_2_6_M_68_L_.tif,18,NP,2,6,M,68,L,0.686,0
