"","temperature","treatment","cage","survival","sex","Label_new","femur","thorax","tibia","wing"
"1",18,"NP",1,6,"F","18_NP_1_6_F_1",0.722,1.1,0.697,2.08
"2",18,"NP",1,6,"F","18_NP_1_6_F_3",0.693,1.055,0.64,1.983
"3",18,"NP",1,6,"F","18_NP_1_6_F_4",0.708,1.101,0.698,2.047
"4",18,"NP",1,6,"F","18_NP_1_6_F_5",0.688,1.031,0.666,1.957
"5",18,"NP",1,6,"F","18_NP_1_6_F_8",0.725,1.081,0.682,2.051
"6",18,"NP",1,6,"F","18_NP_1_6_F_9",0.715,1.072,0.693,2.059
"7",18,"NP",1,6,"F","18_NP_1_6_F_10",0.729,1.073,0.738,2.091
"8",18,"NP",1,6,"F","18_NP_1_6_F_11",0.696,1.048,0.667,2.037
"9",18,"NP",1,6,"F","18_NP_1_6_F_12",0.697,1.022,0.676,1.957
"10",18,"NP",1,6,"F","18_NP_1_6_F_13",0.713,1.029,0.709,2.056
"11",18,"NP",1,6,"F","18_NP_1_6_F_14",0.752,1.165,0.754,2.165
"12",18,"NP",1,6,"F","18_NP_1_6_F_15",0.71,1.066,0.699,1.979
"13",18,"NP",1,6,"F","18_NP_1_6_F_17",0.699,1.06,0.702,2.036
"14",18,"NP",1,6,"F","18_NP_1_6_F_19",0.704,1.031,0.707,2.012
"15",18,"NP",1,6,"F","18_NP_1_6_F_22",0.718,1.077,0.729,2.092
"16",18,"NP",1,6,"F","18_NP_1_6_F_23",0.694,1.051,0.681,1.996
"17",18,"NP",1,6,"F","18_NP_1_6_F_25",0.617,1.083,0.678,2.092
"18",18,"NP",1,6,"F","18_NP_1_6_F_27",0.682,1.032,0.652,1.972
"19",18,"NP",1,6,"F","18_NP_1_6_F_28",0.745,1.125,0.731,2.107
"20",18,"NP",1,6,"F","18_NP_1_6_F_30",0.709,1.051,0.685,1.998
"21",18,"NP",1,6,"F","18_NP_1_6_F_32",0.693,1.084,0.692,2.024
"22",18,"NP",1,6,"F","18_NP_1_6_F_34",0.682,0.98,0.664,1.94
"23",18,"NP",1,6,"F","18_NP_1_6_F_37",0.716,1.086,0.683,2.055
"24",18,"NP",1,6,"F","18_NP_1_6_F_41",0.675,1.038,0.68,1.966
"25",18,"NP",1,6,"F","18_NP_1_6_F_42",0.703,1.071,0.694,2.068
"26",18,"NP",1,6,"F","18_NP_1_6_F_44",0.696,1.042,0.685,2.014
"27",18,"NP",1,6,"F","18_NP_1_6_F_46",0.75,1.166,0.749,2.19
"28",18,"NP",1,6,"F","18_NP_1_6_F_48",0.726,1.099,0.693,1.998
