Slice,Count,TotalArea,AverageSize,AreaPerc,Mean,Block
OREw_DGRP057_R1_24_01-1.tif,1,312263,312263,39.862,255,B1
OREw_DGRP057_R1_24_02-1.tif,1,303985,303985,38.805,255,B1
OREw_DGRP057_R1_24_03-1.tif,1,272885,272885,34.835,255,B1
OREw_DGRP057_R1_24_04-1.tif,1,353906,353906,45.178,255,B1
OREw_DGRP057_R1_24_05-1.tif,1,351131,351131,44.824,255,B1
OREw_DGRP057_R1_24_06-1.tif,1,341753,341753,43.627,255,B1
OREw_DGRP057_R1_24_07-1.tif,1,360364,360364,46.002,255,B1
OREw_DGRP057_R1_24_08-1.tif,1,335975,335975,42.889,255,B1
OREw_DGRP057_R1_24_09-1.tif,1,314961,314961,40.206,255,B1
OREw_DGRP057_R1_24_10-1.tif,1,244600,244600,31.224,255,B1
OREw_DGRP057_R1_24_11-1.tif,1,353734,353734,45.156,255,B1
OREw_DGRP057_R1_24_12-1.tif,1,357002,357002,45.573,255,B1
OREw_DGRP057_R1_24_13-1.tif,1,243104,243104,31.033,255,B1
OREw_DGRP057_R1_24_14-1.tif,1,362975,362975,46.336,255,B1
OREw_DGRP057_R1_24_15-1.tif,1,346725,346725,44.261,255,B1
OREw_DGRP057_R1_24_16-1.tif,1,354341,354341,45.233,255,B1
OREw_DGRP057_R1_24_17-1.tif,1,353635,353635,45.143,255,B1
OREw_DGRP057_R1_24_18-1.tif,1,305074,305074,38.944,255,B1
OREw_DGRP057_R1_24_19-1.tif,1,243917,243917,31.137,255,B1
OREw_DGRP057_R1_24_20-1.tif,1,312057,312057,39.836,255,B1
OREw_DGRP059_R1_24_01-1.tif,1,310548,310548,39.643,255,B1
OREw_DGRP059_R1_24_02-1.tif,1,306530,306530,39.13,255,B1
OREw_DGRP059_R1_24_03-1.tif,1,321637,321637,41.059,255,B1
OREw_DGRP059_R1_24_04-1.tif,1,376144,376144,48.017,255,B1
OREw_DGRP059_R1_24_05-1.tif,1,338578,338578,43.221,255,B1
OREw_DGRP059_R1_24_06-1.tif,1,374489,374489,47.805,255,B1
OREw_DGRP059_R1_24_07-1.tif,1,351941,351941,44.927,255,B1
OREw_DGRP059_R1_24_08-1.tif,1,339788,339788,43.376,255,B1
OREw_DGRP059_R1_24_09-1.tif,1,383502,383502,48.956,255,B1
OREw_DGRP059_R1_24_10-1.tif,1,323956,323956,41.355,255,B1
OREw_DGRP059_R1_24_11-1.tif,1,327527,327527,41.811,255,B1
OREw_DGRP059_R1_24_12-1.tif,1,333377,333377,42.557,255,B1
OREw_DGRP059_R1_24_13-1.tif,1,304347,304347,38.851,255,B1
OREw_DGRP059_R1_24_14-1.tif,1,300800,300800,38.399,255,B1
OREw_DGRP059_R1_24_15-1.tif,1,342363,342363,43.704,255,B1
OREw_DGRP059_R1_24_16-1.tif,1,322517,322517,41.171,255,B1
OREw_DGRP059_R1_24_17-1.tif,1,352176,352176,44.957,255,B1
OREw_DGRP059_R1_24_18-1.tif,1,378328,378328,48.296,255,B1
OREw_DGRP073_R1_24_01-1.tif,1,375022,375022,47.874,255,B1
OREw_DGRP073_R1_24_02-1.tif,1,370360,370360,47.278,255,B1
OREw_DGRP073_R1_24_03-1.tif,1,387077,387077,49.412,255,B1
OREw_DGRP073_R1_24_04-1.tif,1,392809,392809,50.144,255,B1
OREw_DGRP073_R1_24_05-1.tif,1,394126,394126,50.312,255,B1
OREw_DGRP073_R1_24_06-1.tif,1,387470,387470,49.463,255,B1
OREw_DGRP073_R1_24_07-1.tif,1,362637,362637,46.293,255,B1
OREw_DGRP073_R1_24_08-1.tif,1,393761,393761,50.266,255,B1
OREw_DGRP073_R1_24_09-1.tif,1,375981,375981,47.996,255,B1
OREw_DGRP073_R1_24_10-1.tif,1,384582,384582,49.094,255,B1
OREw_DGRP075_R1_24_01-1.tif,1,323069,323069,41.241,255,B1
OREw_DGRP075_R1_24_02-1.tif,1,302859,302859,38.662,255,B1
OREw_DGRP075_R1_24_03-1.tif,1,335718,335718,42.856,255,B1
OREw_DGRP075_R1_24_04-1.tif,1,331274,331274,42.289,255,B1
OREw_DGRP075_R1_24_05-1.tif,1,337719,337719,43.112,255,B1
OREw_DGRP075_R1_24_06-1.tif,1,347814,347814,44.4,255,B1
OREw_DGRP075_R1_24_07-1.tif,1,326643,326643,41.698,255,B1
OREw_DGRP075_R1_24_08-1.tif,1,325316,325316,41.528,255,B1
OREw_DGRP075_R1_24_09-1.tif,1,353303,353303,45.101,255,B1
OREw_DGRP075_R1_24_10-1.tif,1,350304,350304,44.718,255,B1
OREw_DGRP075_R1_24_11-1.tif,1,316095,316095,40.351,255,B1
OREw_DGRP075_R1_24_12-1.tif,1,314167,314167,40.105,255,B1
OREw_DGRP075_R1_24_13-1.tif,1,326775,326775,41.715,255,B1
OREw_DGRP075_R1_24_14-1.tif,1,319627,319627,40.802,255,B1
OREw_DGRP075_R1_24_15-1.tif,1,383805,383805,48.995,255,B1
OREw_DGRP075_R1_24_16-1.tif,1,303264,303264,38.713,255,B1
OREw_DGRP075_R1_24_17-1.tif,1,345152,345152,44.06,255,B1
OREw_DGRP075_R1_24_18-1.tif,1,333015,333015,42.511,255,B1
OREw_DGRP075_R1_24_19-1.tif,1,317505,317505,40.531,255,B1
OREw_DGRP075_R1_24_20-1.tif,1,315860,315860,40.321,255,B1
OREw_DGRP048_R1_24_01-1.tif,1,360098,360098,45.968,255,B1
OREw_DGRP048_R1_24_02-1.tif,1,288029,288029,36.768,255,B1
OREw_DGRP048_R1_24_03-1.tif,1,314062,314062,40.092,255,B1
OREw_DGRP048_R1_24_04-1.tif,1,283292,283292,36.164,255,B1
OREw_DGRP048_R1_24_05-1.tif,1,343110,343110,43.8,255,B1
OREw_DGRP048_R1_24_06-1.tif,1,293712,293712,37.494,255,B1
OREw_DGRP048_R1_24_07-1.tif,1,343592,343592,43.861,255,B1
OREw_DGRP048_R1_24_08-1.tif,1,292488,292488,37.338,255,B1
OREw_DGRP048_R1_24_09-1.tif,1,334453,334453,42.695,255,B1
OREw_DGRP048_R1_24_10-1.tif,1,305406,305406,38.987,255,B1
OREw_DGRP048_R1_24_11-1.tif,1,261627,261627,33.398,255,B1
OREw_DGRP048_R1_24_12-1.tif,1,332436,332436,42.437,255,B1
OREw_DGRP048_R1_24_13-1.tif,1,314878,314878,40.196,255,B1
OREw_DGRP048_R1_24_14-1.tif,1,331063,331063,42.262,255,B1
OREw_DGRP048_R1_24_15-1.tif,1,327804,327804,41.846,255,B1
OREw_DGRP048_R1_24_16-1.tif,1,343084,343084,43.796,255,B1
OREw_DGRP048_R1_24_17-1.tif,1,327924,327924,41.861,255,B1
OREw_DGRP048_R1_24_18-1.tif,1,286457,286457,36.568,255,B1
OREw_DGRP048_R1_24_19-1.tif,1,336262,336262,42.926,255,B1
OREw_DGRP048_R1_24_20-1.tif,1,331282,331282,42.29,255,B1
OREw_DGRP085_R1_24_01-1.tif,1,294818,294818,37.635,255,B1
OREw_DGRP085_R1_24_02-1.tif,1,340551,340551,43.473,255,B1
OREw_DGRP085_R1_24_03-1.tif,1,256173,256173,32.702,255,B1
OREw_DGRP085_R1_24_04-1.tif,1,261818,261818,33.422,255,B1
OREw_DGRP085_R1_24_05-1.tif,1,264873,264873,33.812,255,B1
OREw_DGRP085_R1_24_06-1.tif,1,232753,232753,29.712,255,B1
OREw_DGRP085_R1_24_07-1.tif,1,329686,329686,42.086,255,B1
OREw_DGRP085_R1_24_08-1.tif,1,248109,248109,31.672,255,B1
OREw_DGRP085_R1_24_09-1.tif,1,346819,346819,44.273,255,B1
OREw_DGRP085_R1_24_10-1.tif,1,342803,342803,43.761,255,B1
OREw_DGRP085_R1_24_11-1.tif,1,252059,252059,32.177,255,B1
OREw_DGRP085_R1_24_12-1.tif,1,330845,330845,42.234,255,B1
OREw_DGRP085_R1_24_13-1.tif,1,353217,353217,45.09,255,B1
OREw_DGRP085_R1_24_14-1.tif,1,258525,258525,33.002,255,B1
OREw_DGRP085_R1_24_15-1.tif,1,357043,357043,45.578,255,B1
OREw_DGRP085_R1_24_16-1.tif,1,266680,266680,34.043,255,B1
OREw_DGRP085_R1_24_17-1.tif,1,283683,283683,36.214,255,B1
OREw_DGRP085_R1_24_18-1.tif,1,251098,251098,32.054,255,B1
OREw_DGRP085_R1_24_19-1.tif,1,309376,309376,39.493,255,B1
OREw_DGRP085_R1_24_20-1.tif,1,279130,279130,35.632,255,B1
OREw_DGRP088_R1_24_01-1.tif,1,309400,309400,39.497,255,B1
OREw_DGRP088_R1_24_02-1.tif,1,284403,284403,36.306,255,B1
OREw_DGRP088_R1_24_03-1.tif,1,311283,311283,39.737,255,B1
