"Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"OREw","057",24,312263,39.862,"1"
"OREw","057",24,303985,38.805,"1"
"OREw","057",24,272885,34.835,"1"
"OREw","057",24,353906,45.178,"1"
"OREw","057",24,351131,44.824,"1"
"OREw","057",24,341753,43.627,"1"
"OREw","057",24,360364,46.002,"1"
"OREw","057",24,335975,42.889,"1"
"OREw","057",24,314961,40.206,"1"
"OREw","057",24,244600,31.224,"1"
"OREw","057",24,353734,45.156,"1"
"OREw","057",24,357002,45.573,"1"
"OREw","057",24,243104,31.033,"1"
"OREw","057",24,362975,46.336,"1"
"OREw","057",24,346725,44.261,"1"
"OREw","057",24,354341,45.233,"1"
"OREw","057",24,353635,45.143,"1"
"OREw","057",24,305074,38.944,"1"
"OREw","057",24,243917,31.137,"1"
"OREw","057",24,312057,39.836,"1"
"OREw","059",24,310548,39.643,"1"
"OREw","059",24,306530,39.13,"1"
"OREw","059",24,321637,41.059,"1"
"OREw","059",24,376144,48.017,"1"
"OREw","059",24,338578,43.221,"1"
"OREw","059",24,374489,47.805,"1"
"OREw","059",24,351941,44.927,"1"
"OREw","059",24,339788,43.376,"1"
"OREw","059",24,383502,48.956,"1"
"OREw","059",24,323956,41.355,"1"
"OREw","059",24,327527,41.811,"1"
"OREw","059",24,333377,42.557,"1"
"OREw","059",24,304347,38.851,"1"
"OREw","059",24,300800,38.399,"1"
"OREw","059",24,342363,43.704,"1"
"OREw","059",24,322517,41.171,"1"
"OREw","059",24,352176,44.957,"1"
"OREw","059",24,378328,48.296,"1"
"OREw","073",24,375022,47.874,"1"
"OREw","073",24,370360,47.278,"1"
"OREw","073",24,387077,49.412,"1"
"OREw","073",24,392809,50.144,"1"
"OREw","073",24,394126,50.312,"1"
"OREw","073",24,387470,49.463,"1"
"OREw","073",24,362637,46.293,"1"
"OREw","073",24,393761,50.266,"1"
"OREw","073",24,375981,47.996,"1"
"OREw","073",24,384582,49.094,"1"
"OREw","075",24,323069,41.241,"1"
"OREw","075",24,302859,38.662,"1"
"OREw","075",24,335718,42.856,"1"
"OREw","075",24,331274,42.289,"1"
"OREw","075",24,337719,43.112,"1"
"OREw","075",24,347814,44.4,"1"
"OREw","075",24,326643,41.698,"1"
"OREw","075",24,325316,41.528,"1"
"OREw","075",24,353303,45.101,"1"
"OREw","075",24,350304,44.718,"1"
"OREw","075",24,316095,40.351,"1"
"OREw","075",24,314167,40.105,"1"
"OREw","075",24,326775,41.715,"1"
"OREw","075",24,319627,40.802,"1"
"OREw","075",24,383805,48.995,"1"
"OREw","075",24,303264,38.713,"1"
"OREw","075",24,345152,44.06,"1"
"OREw","075",24,333015,42.511,"1"
"OREw","075",24,317505,40.531,"1"
"OREw","075",24,315860,40.321,"1"
"OREw","048",24,360098,45.968,"1"
"OREw","048",24,288029,36.768,"1"
"OREw","048",24,314062,40.092,"1"
"OREw","048",24,283292,36.164,"1"
"OREw","048",24,343110,43.8,"1"
"OREw","048",24,293712,37.494,"1"
"OREw","048",24,343592,43.861,"1"
"OREw","048",24,292488,37.338,"1"
"OREw","048",24,334453,42.695,"1"
"OREw","048",24,305406,38.987,"1"
"OREw","048",24,261627,33.398,"1"
"OREw","048",24,332436,42.437,"1"
"OREw","048",24,314878,40.196,"1"
"OREw","048",24,331063,42.262,"1"
"OREw","048",24,327804,41.846,"1"
"OREw","048",24,343084,43.796,"1"
"OREw","048",24,327924,41.861,"1"
"OREw","048",24,286457,36.568,"1"
"OREw","048",24,336262,42.926,"1"
"OREw","048",24,331282,42.29,"1"
"OREw","085",24,294818,37.635,"1"
"OREw","085",24,340551,43.473,"1"
"OREw","085",24,256173,32.702,"1"
"OREw","085",24,261818,33.422,"1"
"OREw","085",24,264873,33.812,"1"
"OREw","085",24,232753,29.712,"1"
"OREw","085",24,329686,42.086,"1"
"OREw","085",24,248109,31.672,"1"
"OREw","085",24,346819,44.273,"1"
"OREw","085",24,342803,43.761,"1"
"OREw","085",24,252059,32.177,"1"
"OREw","085",24,330845,42.234,"1"
"OREw","085",24,353217,45.09,"1"
"OREw","085",24,258525,33.002,"1"
"OREw","085",24,357043,45.578,"1"
"OREw","085",24,266680,34.043,"1"
"OREw","085",24,283683,36.214,"1"
"OREw","085",24,251098,32.054,"1"
"OREw","085",24,309376,39.493,"1"
"OREw","085",24,279130,35.632,"1"
"OREw","088",24,309400,39.497,"1"
"OREw","088",24,284403,36.306,"1"
"OREw","088",24,311283,39.737,"1"
"OREw","088",24,309793,39.547,"1"
"OREw","088",24,227779,29.077,"1"
"OREw","088",24,262450,33.503,"1"
"OREw","088",24,311998,39.828,"1"
"OREw","088",24,287652,36.72,"1"
"OREw","088",24,286871,36.621,"1"
"OREw","088",24,300846,38.405,"1"
"OREw","088",24,249174,31.808,"1"
"OREw","088",24,240006,30.638,"1"
"OREw","088",24,317367,40.514,"1"
"OREw","088",24,343146,43.804,"1"
"OREw","088",24,335105,42.778,"1"
"OREw","088",24,224415,28.648,"1"
"OREw","088",24,264383,33.75,"1"
"OREw","088",24,255526,32.619,"1"
"OREw","088",24,304855,38.916,"1"
"OREw","088",24,303100,38.692,"1"
"OREw","091",24,277887,35.474,"1"
"OREw","091",24,286310,36.549,"1"
"OREw","091",24,364948,46.588,"1"
"OREw","091",24,352118,44.95,"1"
