"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"1","OREw","057","24",312263,39.862,"B1"
"2","OREw","057","24",303985,38.805,"B1"
"3","OREw","057","24",272885,34.835,"B1"
"4","OREw","057","24",353906,45.178,"B1"
"5","OREw","057","24",351131,44.824,"B1"
"6","OREw","057","24",341753,43.627,"B1"
"7","OREw","057","24",360364,46.002,"B1"
"8","OREw","057","24",335975,42.889,"B1"
"9","OREw","057","24",314961,40.206,"B1"
"10","OREw","057","24",244600,31.224,"B1"
"11","OREw","057","24",353734,45.156,"B1"
"12","OREw","057","24",357002,45.573,"B1"
"13","OREw","057","24",243104,31.033,"B1"
"14","OREw","057","24",362975,46.336,"B1"
"15","OREw","057","24",346725,44.261,"B1"
"16","OREw","057","24",354341,45.233,"B1"
"17","OREw","057","24",353635,45.143,"B1"
"18","OREw","057","24",305074,38.944,"B1"
"19","OREw","057","24",243917,31.137,"B1"
"20","OREw","057","24",312057,39.836,"B1"
"21","OREw","059","24",310548,39.643,"B1"
"22","OREw","059","24",306530,39.13,"B1"
"23","OREw","059","24",321637,41.059,"B1"
"24","OREw","059","24",376144,48.017,"B1"
"25","OREw","059","24",338578,43.221,"B1"
"26","OREw","059","24",374489,47.805,"B1"
"27","OREw","059","24",351941,44.927,"B1"
"28","OREw","059","24",339788,43.376,"B1"
"29","OREw","059","24",383502,48.956,"B1"
"30","OREw","059","24",323956,41.355,"B1"
"31","OREw","059","24",327527,41.811,"B1"
"32","OREw","059","24",333377,42.557,"B1"
"33","OREw","059","24",304347,38.851,"B1"
"34","OREw","059","24",300800,38.399,"B1"
"35","OREw","059","24",342363,43.704,"B1"
"36","OREw","059","24",322517,41.171,"B1"
"37","OREw","059","24",352176,44.957,"B1"
"38","OREw","059","24",378328,48.296,"B1"
"39","OREw","073","24",375022,47.874,"B1"
"40","OREw","073","24",370360,47.278,"B1"
"41","OREw","073","24",387077,49.412,"B1"
"42","OREw","073","24",392809,50.144,"B1"
"43","OREw","073","24",394126,50.312,"B1"
"44","OREw","073","24",387470,49.463,"B1"
"45","OREw","073","24",362637,46.293,"B1"
"46","OREw","073","24",393761,50.266,"B1"
