"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block","Area_mmsq"
"1","OREw",57,24,312263,39.862,1,1.4434357175
"2","OREw",57,24,303985,38.805,1,1.4051706625
"3","OREw",57,24,272885,34.835,1,1.2614109125
"4","OREw",57,24,353906,45.178,1,1.635930485
"5","OREw",57,24,351131,44.824,1,1.6231030475
"6","OREw",57,24,341753,43.627,1,1.5797532425
"7","OREw",57,24,360364,46.002,1,1.66578259
"8","OREw",57,24,335975,42.889,1,1.5530444375
"9","OREw",57,24,314961,40.206,1,1.4559072225
"10","OREw",57,24,244600,31.224,1,1.1306635
"11","OREw",57,24,353734,45.156,1,1.635135415
"12","OREw",57,24,357002,45.573,1,1.650241745
"13","OREw",57,24,243104,31.033,1,1.12374824
"14","OREw",57,24,362975,46.336,1,1.6778519375
"15","OREw",57,24,346725,44.261,1,1.6027363125
"16","OREw",57,24,354341,45.233,1,1.6379412725
"17","OREw",57,24,353635,45.143,1,1.6346777875
"18","OREw",57,24,305074,38.944,1,1.410204565
"19","OREw",57,24,243917,31.137,1,1.1275063325
"20","OREw",57,24,312057,39.836,1,1.4424834825
"21","OREw",59,24,310548,39.643,1,1.43550813
"22","OREw",59,24,306530,39.13,1,1.416934925
"23","OREw",59,24,321637,41.059,1,1.4867670325
"24","OREw",59,24,376144,48.017,1,1.73872564
"25","OREw",59,24,338578,43.221,1,1.565076805
"26","OREw",59,24,374489,47.805,1,1.7310754025
"27","OREw",59,24,351941,44.927,1,1.6268472725
"28","OREw",59,24,339788,43.376,1,1.57067003
"29","OREw",59,24,383502,48.956,1,1.772737995
"30","OREw",59,24,323956,41.355,1,1.49748661
"31","OREw",59,24,327527,41.811,1,1.5139935575
"32","OREw",59,24,333377,42.557,1,1.5410351825
"33","OREw",59,24,304347,38.851,1,1.4068440075
"34","OREw",59,24,300800,38.399,1,1.390448
"35","OREw",59,24,342363,43.704,1,1.5825729675
"36","OREw",59,24,322517,41.171,1,1.4908348325
"37","OREw",59,24,352176,44.957,1,1.62793356
"38","OREw",59,24,378328,48.296,1,1.74882118
"39","OREw",73,24,375022,47.874,1,1.733539195
"40","OREw",73,24,370360,47.278,1,1.7119891
"41","OREw",73,24,387077,49.412,1,1.7892634325
"42","OREw",73,24,392809,50.144,1,1.8157596025
"43","OREw",73,24,394126,50.312,1,1.821847435
"44","OREw",73,24,387470,49.463,1,1.791080075
"45","OREw",73,24,362637,46.293,1,1.6762895325
"46","OREw",73,24,393761,50.266,1,1.8201602225
"47","OREw",73,24,375981,47.996,1,1.7379721725
"48","OREw",73,24,384582,49.094,1,1.777730295
"49","OREw",75,24,323069,41.241,1,1.4933864525
"50","OREw",75,24,302859,38.662,1,1.3999657275
"51","OREw",75,24,335718,42.856,1,1.551856455
"52","OREw",75,24,331274,42.289,1,1.531314065
"53","OREw",75,24,337719,43.112,1,1.5611060775
"54","OREw",75,24,347814,44.4,1,1.607770215
"55","OREw",75,24,326643,41.698,1,1.5099072675
